x,y,z,intensity,semantic_class
19.105,0.379,-0.006,0.311,0
17.147,-0.421,-0.020,0.526,0
6.585,-3.018,0.006,0.604,0
2.784,-2.555,0.009,0.310,0
0.974,-1.849,-0.009,0.695,0
-16.663,-3.394,-0.001,0.639,0
-16.369,-3.939,0.014,0.555,0
7.626,1.311,0.007,0.673,0
18.319,0.495,0.013,0.487,0
0.410,6.967,-0.002,0.647,0
-19.959,-7.956,-0.014,0.518,0
13.154,-3.397,-0.020,0.632,0
13.221,-3.445,-0.018,0.586,0
-6.540,2.707,0.012,0.329,0
7.193,0.288,0.010,0.495,0
-14.337,5.286,-0.005,0.574,0
-13.470,-1.471,0.002,0.422,0
8.457,2.723,-0.031,0.501,0
0.397,3.352,0.002,0.319,0
3.557,7.633,0.006,0.516,0
0.948,-5.909,-0.020,0.342,0
17.619,3.936,0.009,0.410,0
11.548,-6.964,-0.021,0.309,0
15.965,1.903,0.012,0.542,0
-8.335,-6.284,0.002,0.326,0
19.184,-7.010,0.018,0.684,0
12.751,1.836,0.017,0.468,0
-16.017,5.522,0.030,0.501,0
-16.516,-5.794,-0.008,0.313,0
-12.339,3.992,0.017,0.678,0
-6.545,-3.041,-0.006,0.386,0
-11.222,-5.474,0.001,0.614,0
-17.926,6.633,-0.002,0.439,0
-2.199,-0.639,-0.017,0.500,0
-9.500,2.989,0.004,0.419,0
-1.493,1.811,0.024,0.446,0
11.339,1.151,-0.005,0.603,0
-7.129,-5.048,0.022,0.481,0
-18.388,-1.287,-0.052,0.346,0
13.382,4.823,0.033,0.658,0
-0.387,-3.841,-0.023,0.413,0
-10.234,-6.682,0.009,0.525,0
17.130,2.953,0.029,0.586,0
9.408,4.041,-0.029,0.445,0
-3.132,5.261,0.008,0.507,0
-6.115,1.883,0.027,0.636,0
-17.158,-3.238,0.003,0.529,0
-8.574,-5.217,-0.002,0.491,0
8.633,-3.108,0.001,0.571,0
-16.975,-7.967,0.005,0.448,0
-4.941,-3.923,0.011,0.570,0
3.663,-0.300,0.011,0.340,0
9.598,5.355,-0.012,0.572,0
9.713,-3.859,-0.008,0.595,0
-8.296,-6.210,0.019,0.646,0
-6.830,-3.037,0.029,0.477,0
-13.706,4.938,-0.001,0.392,0
9.172,7.218,-0.006,0.505,0
-9.381,-6.790,0.010,0.319,0
-0.783,4.534,0.020,0.381,0
15.989,-0.630,0.004,0.524,0
-19.743,-0.669,0.003,0.375,0
14.268,0.165,0.019,0.483,0
9.594,4.130,0.010,0.493,0
5.806,6.663,0.022,0.386,0
-3.717,-5.944,0.003,0.512,0
4.961,-3.863,-0.003,0.635,0
17.944,3.148,-0.005,0.394,0
-16.189,-7.907,-0.023,0.697,0
-17.289,3.077,0.012,0.487,0
-6.380,-0.646,-0.010,0.665,0
-15.878,-0.792,0.031,0.404,0
16.710,3.843,-0.018,0.698,0
11.495,-2.208,0.000,0.503,0
-13.663,-5.805,-0.016,0.337,0
-5.055,2.428,-0.001,0.423,0
-3.384,4.526,-0.020,0.519,0
18.177,7.236,-0.021,0.598,0
-6.831,-3.362,-0.002,0.537,0
-0.792,3.018,0.012,0.497,0
1.158,4.319,0.032,0.501,0
11.272,-0.666,0.030,0.441,0
14.722,7.020,-0.025,0.627,0
6.831,4.211,-0.006,0.651,0
-5.467,-5.810,0.041,0.611,0
-10.838,0.906,-0.010,0.453,0
-4.077,-0.565,-0.005,0.527,0
3.034,-4.102,-0.011,0.508,0
10.677,-5.841,0.011,0.468,0
18.380,0.656,0.020,0.443,0
14.936,6.670,0.003,0.485,0
11.511,4.215,-0.013,0.688,0
16.026,-5.570,0.017,0.322,0
7.842,5.545,0.004,0.502,0
17.820,-4.451,-0.026,0.659,0
0.542,5.069,-0.018,0.424,0
-16.357,6.798,0.025,0.474,0
9.181,-0.708,0.029,0.662,0
17.939,3.269,-0.000,0.699,0
-18.758,-0.350,0.016,0.461,0
4.884,-1.194,0.019,0.620,0
-7.809,-0.398,-0.007,0.365,0
-3.833,-2.614,-0.005,0.524,0
16.724,-2.134,0.010,0.530,0
-6.624,-4.985,0.015,0.595,0
5.033,2.348,-0.019,0.334,0
-3.064,7.607,-0.005,0.620,0
17.073,-5.382,0.015,0.540,0
-5.253,-1.749,0.031,0.519,0
-16.025,-3.473,-0.005,0.411,0
-3.240,4.368,-0.014,0.308,0
-3.795,-2.229,-0.010,0.365,0
15.415,-7.931,-0.008,0.662,0
-6.743,-2.986,-0.002,0.699,0
-8.240,-0.386,-0.026,0.468,0
-3.719,-5.460,0.016,0.484,0
7.640,-5.219,-0.042,0.542,0
-3.107,-5.677,-0.033,0.503,0
0.882,5.691,-0.012,0.300,0
8.409,-5.034,0.012,0.410,0
-18.928,0.132,-0.016,0.651,0
-14.674,-2.317,0.007,0.337,0
9.005,7.778,0.001,0.586,0
16.287,3.440,-0.034,0.411,0
14.681,-0.310,0.025,0.572,0
8.288,6.539,-0.003,0.313,0
19.274,-4.076,0.001,0.351,0
14.116,-7.369,-0.028,0.383,0
7.750,-3.643,-0.002,0.700,0
5.605,0.729,0.018,0.652,0
14.125,7.475,-0.005,0.561,0
15.206,-1.868,-0.017,0.516,0
-9.038,1.964,-0.001,0.660,0
14.161,0.675,-0.001,0.556,0
3.528,3.035,0.018,0.461,0
-19.993,-0.751,0.022,0.545,0
-12.116,-3.601,0.024,0.666,0
11.184,0.510,0.001,0.611,0
-6.312,-1.486,0.035,0.467,0
13.722,-7.365,-0.040,0.473,0
4.107,7.237,0.013,0.451,0
19.466,7.694,-0.006,0.449,0
10.554,-5.413,-0.035,0.406,0
-16.278,6.661,-0.019,0.438,0
13.512,5.007,0.005,0.696,0
6.556,4.515,0.005,0.354,0
-11.195,3.059,-0.008,0.438,0
0.672,2.373,0.005,0.609,0
-13.586,1.427,-0.011,0.363,0
-5.078,-4.645,0.014,0.373,0
9.792,7.793,0.006,0.526,0
-1.865,6.086,-0.022,0.412,0
6.458,-7.616,0.004,0.308,0
15.974,7.681,0.017,0.537,0
8.061,0.939,-0.014,0.441,0
-16.318,4.267,-0.028,0.435,0
-3.501,5.433,-0.009,0.460,0
-7.355,-3.570,0.013,0.666,0
-0.862,-6.195,-0.009,0.629,0
15.874,0.312,0.014,0.492,0
-6.284,0.806,-0.031,0.672,0
9.657,-3.693,-0.019,0.680,0
-1.269,-0.706,0.009,0.645,0
13.509,-6.168,0.006,0.606,0
-10.572,4.759,-0.005,0.555,0
0.938,7.157,-0.013,0.683,0
5.272,-7.966,0.018,0.371,0
-4.932,-2.790,-0.005,0.474,0
2.540,-1.697,0.032,0.355,0
-8.130,-5.268,-0.000,0.635,0
19.497,7.649,0.000,0.608,0
7.490,-4.334,-0.010,0.398,0
5.178,4.097,0.022,0.626,0
17.382,-2.122,-0.027,0.490,0
-2.373,3.087,0.015,0.425,0
19.251,-6.608,-0.007,0.441,0
-16.399,-3.306,-0.024,0.409,0
19.528,2.647,0.004,0.609,0
8.788,-5.015,-0.017,0.344,0
3.198,-1.626,0.027,0.539,0
-5.741,7.751,-0.011,0.575,0
-11.877,1.621,-0.022,0.561,0
19.302,-6.305,-0.025,0.377,0
-10.591,-7.303,0.031,0.316,0
15.204,-2.437,0.004,0.685,0
-17.718,7.123,-0.009,0.376,0
12.051,7.343,0.014,0.664,0
14.783,-4.328,-0.001,0.368,0
-10.204,-0.153,-0.001,0.579,0
19.078,4.017,0.020,0.632,0
-5.127,6.949,0.015,0.494,0
-13.666,-4.553,-0.032,0.554,0
-3.220,-0.407,0.001,0.645,0
18.893,-0.137,0.018,0.649,0
-15.460,7.347,0.007,0.645,0
7.719,-1.879,0.003,0.458,0
-14.556,-2.844,-0.042,0.651,0
7.412,-1.269,0.022,0.415,0
-13.831,-4.451,-0.014,0.352,0
17.750,-1.382,0.000,0.480,0
16.548,4.173,0.017,0.659,0
19.377,-1.462,0.022,0.536,0
15.137,-6.471,-0.015,0.318,0
-4.563,-5.838,0.009,0.497,0
-1.368,1.032,-0.008,0.346,0
-7.444,-2.417,-0.001,0.576,0
-0.313,1.586,0.002,0.538,0
-10.484,-5.714,0.022,0.440,0
18.402,-2.358,-0.009,0.522,0
-3.286,7.053,0.033,0.363,0
-6.559,-7.293,0.008,0.691,0
17.411,4.568,-0.046,0.507,0
-6.099,5.473,-0.001,0.501,0
-3.140,0.660,-0.034,0.410,0
5.117,4.566,0.007,0.506,0
9.222,2.503,0.000,0.661,0
-2.973,-5.882,0.001,0.451,0
-11.110,0.340,0.045,0.479,0
4.876,-5.526,-0.007,0.429,0
-13.195,-7.034,0.009,0.401,0
4.755,-4.305,0.063,0.629,0
5.703,1.335,0.023,0.650,0
5.556,-2.702,0.006,0.564,0
-5.921,-4.559,0.011,0.620,0
-4.147,-1.916,-0.003,0.562,0
-9.399,-4.924,0.018,0.603,0
11.575,-5.538,-0.023,0.360,0
8.650,-2.107,0.004,0.435,0
7.658,-7.600,-0.014,0.555,0
18.853,3.110,0.010,0.578,0
15.473,1.761,0.027,0.662,0
-2.834,2.647,-0.026,0.472,0
10.316,4.157,0.002,0.639,0
5.762,-4.137,0.010,0.425,0
1.481,5.296,-0.011,0.396,0
-14.398,-2.815,0.005,0.643,0
-0.254,-2.578,0.016,0.504,0
-11.322,4.817,0.006,0.407,0
12.338,3.287,-0.009,0.359,0
9.572,4.133,0.021,0.465,0
-12.836,2.230,0.033,0.400,0
-16.387,-1.960,0.004,0.303,0
-15.657,0.547,0.023,0.575,0
11.343,0.127,0.008,0.433,0
17.661,-5.100,-0.024,0.351,0
-8.411,3.912,0.018,0.303,0
-15.630,3.137,0.024,0.476,0
8.309,-1.844,0.026,0.423,0
0.904,6.957,-0.001,0.431,0
4.227,-1.747,0.055,0.466,0
0.073,-5.701,0.014,0.525,0
12.390,7.942,0.001,0.460,0
3.396,4.275,-0.024,0.467,0
12.089,1.266,-0.017,0.488,0
6.310,1.750,-0.012,0.587,0
7.398,-3.005,-0.025,0.552,0
9.463,1.448,0.036,0.473,0
3.128,6.066,0.016,0.323,0
-5.610,-4.373,-0.042,0.556,0
-4.149,-5.404,0.001,0.699,0
-19.107,4.475,0.006,0.560,0
-18.513,2.905,0.001,0.510,0
-1.407,-4.690,0.056,0.499,0
12.079,2.785,-0.013,0.424,0
8.289,3.524,0.034,0.631,0
-4.604,-3.497,-0.002,0.500,0
-0.819,-3.103,0.046,0.676,0
13.525,-5.590,-0.060,0.532,0
11.508,0.923,0.005,0.440,0
4.409,2.374,0.041,0.605,0
13.963,0.915,0.012,0.584,0
19.168,-3.559,-0.023,0.448,0
4.919,-0.140,-0.035,0.403,0
18.795,-2.698,-0.016,0.581,0
-16.880,-2.626,-0.024,0.630,0
11.034,-0.925,-0.027,0.584,0
-16.156,-1.421,0.034,0.683,0
-11.132,-2.701,0.000,0.449,0
-6.433,-1.352,-0.018,0.591,0
-15.332,-6.663,-0.023,0.577,0
8.639,-4.480,-0.028,0.310,0
-6.023,7.998,0.011,0.601,0
-13.255,2.086,0.006,0.332,0
-11.410,-0.488,-0.016,0.341,0
-19.009,-7.622,0.034,0.432,0
18.421,-5.277,-0.018,0.581,0
18.047,-7.342,-0.013,0.498,0
-9.822,-3.433,0.004,0.520,0
7.971,2.289,-0.022,0.530,0
-18.143,0.938,0.009,0.485,0
-6.017,-7.675,-0.029,0.510,0
7.051,1.615,-0.017,0.532,0
-10.893,-7.647,0.032,0.473,0
-6.434,-5.456,0.003,0.500,0
-14.755,-5.331,0.008,0.492,0
-13.947,5.756,-0.011,0.580,0
-19.752,-4.662,0.017,0.527,0
-6.455,5.857,-0.002,0.310,0
-2.970,1.298,-0.021,0.533,0
-3.096,2.741,0.031,0.587,0
-8.603,0.819,0.006,0.434,0
1.269,2.047,0.022,0.347,0
-18.985,-6.809,-0.004,0.445,0
-3.769,-1.397,-0.017,0.516,0
4.516,-3.803,0.009,0.597,0
10.563,3.710,0.010,0.618,0
19.709,-6.789,0.010,0.326,0
-2.425,4.359,0.014,0.369,0
17.608,-6.812,-0.014,0.419,0
16.655,-2.233,0.039,0.358,0
-14.432,0.258,0.014,0.424,0
0.034,6.533,0.018,0.490,0
-11.029,4.348,-0.038,0.623,0
11.723,-7.287,-0.032,0.343,0
9.407,5.470,-0.021,0.351,0
18.938,3.866,-0.033,0.627,0
-17.627,-4.819,-0.006,0.305,0
-2.679,3.053,0.008,0.465,0
-5.419,1.283,0.006,0.346,0
6.227,-0.949,0.015,0.589,0
1.233,5.271,0.051,0.557,0
2.808,-3.560,-0.025,0.433,0
-14.318,-6.615,-0.017,0.427,0
17.645,6.802,0.022,0.541,0
-7.001,6.166,-0.012,0.479,0
-4.271,5.580,-0.027,0.527,0
-10.856,-2.302,-0.017,0.636,0
-7.866,3.896,0.005,0.588,0
-4.850,-6.195,0.002,0.329,0
-9.576,7.575,0.000,0.424,0
-1.860,-0.120,0.007,0.471,0
13.324,4.411,0.009,0.383,0
13.747,2.555,-0.024,0.313,0
4.493,-3.533,-0.013,0.691,0
2.108,-6.540,0.015,0.654,0
4.091,2.592,0.008,0.327,0
0.170,-6.639,-0.026,0.356,0
-17.160,-0.016,-0.003,0.623,0
-15.920,0.268,0.004,0.521,0
-0.853,-4.825,-0.026,0.364,0
-17.046,7.883,-0.058,0.670,0
-14.811,5.220,-0.019,0.532,0
5.031,-1.268,0.021,0.305,0
17.823,7.561,-0.028,0.397,0
-18.609,-2.904,0.004,0.337,0
4.093,7.021,-0.025,0.394,0
-1.900,-7.067,-0.010,0.522,0
-18.420,2.107,0.042,0.676,0
11.215,4.899,0.011,0.477,0
8.187,-5.789,0.037,0.468,0
17.374,2.451,-0.051,0.629,0
6.558,-4.067,0.000,0.302,0
8.620,-1.036,0.017,0.452,0
-5.596,0.626,0.008,0.646,0
3.164,-2.446,0.002,0.457,0
4.819,2.925,-0.017,0.545,0
-15.340,-5.955,0.028,0.605,0
-12.031,-1.810,-0.010,0.451,0
-10.557,-2.103,0.034,0.622,0
4.395,0.202,0.002,0.638,0
1.715,-2.486,0.024,0.379,0
-7.090,1.139,-0.022,0.302,0
11.592,6.487,0.002,0.341,0
7.673,5.331,0.017,0.545,0
-14.427,6.356,-0.017,0.468,0
11.592,0.666,-0.022,0.518,0
-7.618,-6.239,-0.012,0.516,0
-1.355,4.239,-0.011,0.515,0
-12.730,0.266,0.036,0.353,0
-3.869,1.069,-0.044,0.425,0
-10.815,-7.533,-0.013,0.429,0
9.335,1.950,0.032,0.476,0
3.530,-5.741,-0.003,0.316,0
15.258,2.776,0.028,0.499,0
-13.678,-4.498,-0.000,0.557,0
2.988,-7.295,-0.009,0.636,0
-1.117,-5.324,0.036,0.572,0
-0.954,-0.338,0.013,0.467,0
10.218,-2.498,-0.001,0.467,0
-3.413,1.659,-0.024,0.549,0
7.811,-2.357,-0.005,0.550,0
-8.852,4.471,-0.015,0.383,0
-14.917,4.095,-0.021,0.683,0
11.714,0.541,0.022,0.419,0
1.034,3.538,-0.022,0.548,0
-10.090,0.294,-0.026,0.687,0
-1.928,-7.363,0.023,0.596,0
5.306,-6.579,-0.001,0.545,0
-10.123,-4.254,-0.040,0.324,0
-12.775,6.567,0.009,0.684,0
19.623,1.528,-0.019,0.506,0
-12.623,-1.342,-0.002,0.633,0
-6.629,6.913,0.010,0.566,0
-4.066,-6.891,0.037,0.673,0
14.446,-0.437,0.013,0.546,0
-8.871,-4.565,-0.023,0.497,0
-11.135,-7.661,0.027,0.575,0
-14.933,-7.325,-0.012,0.315,0
