x y z intensity
18.206 4.674 0.050 0.879
-9.833 -4.438 0.533 0.364
-5.666 -5.497 1.120 0.488
-25.578 4.977 1.234 0.541
39.044 4.798 0.709 0.310
-25.923 3.472 0.892 0.888
9.652 1.220 0.180 0.832
4.507 1.182 0.075 0.464
24.772 -2.151 0.534 0.685
-30.187 -0.826 1.106 0.855
-22.202 -4.871 0.187 0.292
-0.468 1.783 0.389 0.653
2.948 0.866 0.314 0.897
-2.232 -1.934 0.337 0.308
30.096 4.509 0.999 0.544
30.200 4.707 0.075 0.448
-20.410 -0.192 0.607 0.758
-18.853 1.494 0.601 0.801
21.227 -1.588 1.069 0.319
27.424 1.481 0.326 0.440
34.115 0.085 1.009 0.863
-37.063 -4.818 -0.003 0.346
-34.764 2.685 1.225 0.769
9.834 4.637 0.792 0.627
16.368 -4.567 0.004 0.406
30.971 -3.360 0.301 0.853
-15.745 -2.906 0.585 0.783
-23.687 -2.827 1.179 0.668
25.424 4.842 0.847 0.243
19.696 -5.448 0.867 0.378
26.867 -5.781 0.581 0.761
-33.053 5.535 1.199 0.377
13.989 -2.230 0.978 0.269
26.808 0.941 1.486 0.779
-4.232 2.220 1.038 0.323
4.139 5.278 0.868 0.621
-19.043 0.400 0.391 0.627
9.604 -3.710 1.232 0.649
38.739 -2.460 0.715 0.864
25.939 -0.359 1.341 0.491
25.071 3.960 1.337 0.513
37.116 -0.660 0.067 0.564
-22.654 -1.647 0.977 0.292
38.168 5.278 1.418 0.799
9.734 -0.799 0.700 0.688
-22.458 3.761 0.333 0.273
-20.148 -2.921 -0.077 0.249
-17.788 -5.725 0.675 0.559
3.888 -0.818 0.158 0.260
27.122 -0.375 1.009 0.587
6.902 -4.656 0.775 0.786
-7.395 3.401 1.203 0.307
9.124 5.652 0.741 0.632
-9.896 -0.116 1.327 0.708
-32.781 -3.585 0.215 0.316
-32.085 -5.006 0.292 0.794
-26.232 -2.563 0.401 0.316
11.899 -4.813 1.093 0.724
-26.058 5.857 0.741 0.578
-19.946 -3.637 0.645 0.455
0.619 -5.085 1.339 0.372
-33.344 -4.260 1.342 0.759
18.410 -0.297 1.219 0.235
-2.024 2.925 1.265 0.805
-17.727 -2.624 0.200 0.703
24.133 -2.422 0.522 0.280
26.936 -2.298 1.206 0.826
-30.361 0.436 0.527 0.380
33.355 -2.819 0.220 0.741
-7.002 -0.045 0.566 0.454
21.855 2.539 1.379 0.423
26.683 4.148 0.126 0.647
-10.072 -4.267 0.337 0.471
39.019 -0.617 1.142 0.562
-13.765 -2.535 0.740 0.271
-5.867 2.309 0.803 0.377
-18.785 -4.055 0.883 0.679
-26.318 4.250 -0.020 0.502
1.624 -4.711 0.760 0.805
-33.558 -0.996 0.412 0.600
3.387 2.511 0.867 0.700
14.910 -1.363 1.114 0.474
-17.875 3.596 0.442 0.823
7.095 1.591 0.652 0.747
28.455 -5.337 0.472 0.370
28.464 4.614 1.171 0.344
14.953 -0.915 1.035 0.284
-34.137 3.010 0.683 0.736
-7.078 3.972 0.781 0.771
36.735 -3.583 0.612 0.879
9.708 -3.555 0.577 0.450
22.734 -5.359 1.090 0.864
29.783 -2.408 0.951 0.841
17.783 3.137 0.523 0.719
19.734 4.619 0.404 0.409
9.524 5.991 0.629 0.644
11.309 4.944 1.404 0.629
28.686 0.789 1.186 0.884
2.790 -0.132 1.106 0.365
-0.402 4.714 0.501 0.246
1.716 -2.760 1.042 0.729
27.721 5.444 0.871 0.877
-23.163 -3.777 0.747 0.783
-32.396 0.412 -0.090 0.634
-21.755 2.184 0.797 0.645
-7.140 -2.189 0.072 0.240
15.686 3.726 0.145 0.335
-24.140 3.335 1.202 0.867
8.682 2.539 -0.085 0.807
18.973 -3.399 0.263 0.652
25.783 -3.941 1.250 0.388
21.585 -3.642 1.136 0.608
-23.298 0.258 1.386 0.228
25.461 5.820 -0.019 0.455
-1.238 3.607 1.479 0.512
-12.942 1.554 0.178 0.639
-29.936 -4.248 0.015 0.876
0.618 5.145 0.176 0.460
35.541 -0.297 -0.044 0.576
-28.080 2.627 0.725 0.445
-29.353 0.191 0.592 0.861
33.522 3.820 0.498 0.456
20.895 4.215 1.164 0.587
-17.709 -4.143 0.427 0.364
16.845 4.868 0.584 0.388
-29.303 -2.207 1.262 0.840
-6.232 -5.785 1.138 0.483
4.166 4.335 0.919 0.335
7.859 -2.037 0.685 0.624
19.134 -1.223 1.108 0.494
33.700 -1.929 1.417 0.726
-16.294 4.865 0.860 0.890
-30.583 0.516 1.487 0.802
-18.456 1.364 0.740 0.616
32.906 5.785 0.379 0.723
-6.356 -0.424 0.501 0.520
22.265 4.908 0.227 0.700
-32.982 -5.645 -0.070 0.251
-5.874 3.844 0.607 0.463
-23.294 2.377 -0.041 0.577
-13.474 1.565 -0.063 0.597
-29.736 -2.466 0.505 0.707
35.083 -2.779 -0.089 0.334
-34.932 0.788 0.347 0.473
33.997 -1.298 0.504 0.658
-30.712 -3.940 0.900 0.716
29.619 5.070 -0.003 0.783
-35.194 5.245 1.165 0.534
-10.929 -4.912 1.119 0.620
25.171 -5.740 0.806 0.538
-39.859 5.054 1.489 0.832
-35.741 -3.437 1.185 0.358
-25.563 -1.608 0.680 0.289
-23.545 0.621 0.001 0.866
-9.469 -2.947 1.054 0.319
1.086 -2.699 0.631 0.421
-15.032 -4.297 1.361 0.714
-24.665 -3.237 0.023 0.647
6.035 3.897 0.869 0.814
10.883 -5.010 1.260 0.481
-16.861 -5.479 0.575 0.520
10.366 5.499 0.072 0.897
-20.707 -3.369 0.357 0.780
-6.955 0.531 1.359 0.745
17.779 2.607 0.235 0.393
35.969 3.235 0.795 0.246
12.387 1.703 0.827 0.282
-16.766 4.049 0.408 0.459
0.815 5.700 1.492 0.794
16.653 -3.195 1.179 0.893
21.358 3.767 -0.048 0.267
30.463 1.617 0.078 0.844
33.037 4.396 0.297 0.306
-31.722 -4.414 1.086 0.545
-11.302 -1.474 0.511 0.368
-28.062 3.025 0.550 0.545
24.460 -4.520 0.782 0.443
1.151 5.820 0.007 0.344
-39.371 -3.592 0.231 0.507
38.273 -3.029 0.466 0.641
31.185 -4.471 1.153 0.734
-16.098 4.221 1.392 0.207
2.683 4.296 0.844 0.786
36.191 -3.220 -0.008 0.349
28.118 -2.155 0.725 0.873
25.828 -0.321 1.122 0.309
22.390 -5.159 0.410 0.787
-22.900 1.419 1.340 0.299
14.356 4.012 0.117 0.571
8.650 3.122 -0.020 0.873
4.017 -3.612 0.269 0.328
-22.320 5.200 0.412 0.201
27.708 -0.590 0.357 0.788
38.120 -3.352 1.462 0.531
33.851 2.315 0.232 0.328
38.007 -4.660 1.294 0.364
-4.068 -2.013 1.264 0.217
-25.860 3.730 0.271 0.341
9.328 -2.116 0.379 0.353
6.110 1.459 0.325 0.465
34.460 1.930 1.346 0.671
34.828 -1.327 0.364 0.422
20.291 3.888 0.568 0.417
37.682 1.675 1.316 0.579
-33.851 -5.473 1.315 0.801
30.563 2.559 1.449 0.265
14.901 -2.746 0.484 0.816
-10.506 3.993 0.170 0.392
26.102 4.968 0.787 0.511
30.013 2.077 0.741 0.714
-3.292 3.981 0.700 0.558
30.564 5.187 0.581 0.330
10.270 -2.108 -0.056 0.360
19.268 -5.013 0.353 0.327
11.295 -4.036 0.672 0.788
26.549 1.413 0.342 0.483
0.052 0.251 -0.089 0.204
-27.042 3.383 0.551 0.429
-27.979 -4.327 0.421 0.450
17.899 -1.939 1.303 0.377
-31.704 -1.387 0.285 0.678
17.534 1.576 0.632 0.201
-39.385 -5.069 0.771 0.324
-24.893 -3.038 0.096 0.503
21.165 4.247 0.675 0.522
37.189 2.725 0.247 0.318
33.358 3.759 0.476 0.771
9.148 3.214 0.644 0.552
-14.836 -2.215 0.068 0.527
-31.205 -4.531 0.046 0.784
19.676 4.217 1.477 0.676
36.849 1.178 0.511 0.280
25.293 -3.167 0.002 0.616
-0.557 -3.676 -0.081 0.256
27.999 -4.308 1.425 0.459
-17.259 5.573 0.878 0.345
-22.459 -4.894 0.100 0.608
-15.697 -1.932 0.690 0.237
13.339 -3.143 1.193 0.868
-27.368 -5.302 0.727 0.608
30.352 -1.524 0.093 0.466
-21.086 5.630 0.945 0.678
5.070 0.510 0.384 0.281
-35.750 -0.651 0.595 0.324
-6.751 1.961 0.332 0.662
-10.273 -4.763 0.882 0.227
-19.782 5.086 0.487 0.540
34.504 3.784 0.843 0.296
-0.524 3.735 0.370 0.726
22.359 4.772 1.352 0.803
21.079 -5.273 1.190 0.408
13.395 -3.033 0.711 0.461
35.747 -3.504 1.237 0.850
3.050 -4.357 0.339 0.812
19.804 -1.735 0.441 0.567
-16.111 -0.474 0.040 0.590
-2.328 0.468 0.670 0.428
-26.281 -3.080 0.909 0.704
-37.687 -0.235 0.676 0.780
24.252 -1.679 0.635 0.393
-0.170 4.905 0.740 0.809
-1.778 -4.357 -0.043 0.334
9.982 -5.876 0.087 0.600
39.996 -1.504 0.005 0.812
-0.705 5.482 0.403 0.337
-31.120 -1.036 1.189 0.780
22.584 -3.816 0.191 0.799
-14.856 -3.182 0.721 0.686
25.858 3.880 0.693 0.744
35.127 5.485 0.859 0.275
-19.278 0.905 -0.003 0.576
-33.574 -1.108 0.511 0.307
-22.651 -5.675 0.328 0.854
-23.445 -2.433 0.590 0.360
7.882 -3.270 1.460 0.363
-16.297 2.858 0.258 0.445
20.515 -3.950 1.076 0.827
-29.597 2.549 0.760 0.518
21.007 1.773 0.585 0.433
12.331 4.408 0.806 0.308
7.931 5.379 1.388 0.795
38.143 -4.489 0.488 0.758
33.604 -1.131 1.108 0.283
35.765 -5.739 0.802 0.575
-11.919 5.381 0.917 0.325
15.328 2.828 1.181 0.832
-1.504 -1.359 0.824 0.878
-26.207 5.541 0.009 0.424
-29.998 5.044 -0.016 0.357
6.644 -5.736 0.631 0.233
-18.032 2.583 1.468 0.591
-21.298 -5.641 0.042 0.284
-10.182 5.489 1.020 0.760
18.609 4.353 0.342 0.279
-14.204 -3.742 1.193 0.770
-0.612 5.267 0.378 0.553
7.127 3.751 1.463 0.285
-30.464 -2.115 1.055 0.375
19.693 1.493 1.483 0.578
39.738 4.765 0.500 0.553
-7.827 -5.249 0.648 0.360
36.131 1.494 0.220 0.250
-9.427 -5.854 0.417 0.535
-11.290 4.345 0.123 0.767
19.150 0.404 0.334 0.886
-5.295 4.276 0.945 0.578
35.003 -1.584 0.435 0.454
-35.720 -3.303 0.300 0.839
23.718 -4.361 1.101 0.339
8.790 -0.537 0.135 0.480
-31.204 -3.297 0.449 0.481
-32.468 -4.694 1.189 0.364
2.686 -3.627 1.102 0.256
-10.232 -0.107 0.187 0.553
25.009 0.156 0.927 0.489
15.760 -5.533 0.432 0.329
-35.587 2.028 1.149 0.697
-7.243 5.403 1.234 0.556
23.765 4.265 0.604 0.778
38.175 -2.238 0.832 0.672
30.615 -0.987 0.672 0.506
39.906 -3.366 1.005 0.426
-14.225 -2.877 0.707 0.615
-39.062 1.108 1.144 0.695
25.006 -0.767 1.233 0.386
18.679 1.844 0.392 0.587
23.835 -2.644 1.223 0.609
-2.322 2.351 0.088 0.268
27.888 -0.474 0.585 0.885
29.845 -2.095 0.144 0.451
-33.658 5.949 0.340 0.713
4.939 -0.357 1.408 0.574
23.347 -5.380 1.433 0.749
0.108 5.956 0.707 0.382
-4.619 1.712 0.525 0.744
-14.276 -2.352 0.811 0.665
4.565 -5.823 1.116 0.206
-27.192 -2.280 0.941 0.601
-24.715 -5.145 1.280 0.418
29.429 -2.995 0.415 0.834
32.162 0.313 0.128 0.245
-13.621 -5.261 0.865 0.775
1.660 1.071 0.450 0.792
27.457 2.618 0.582 0.240
-31.718 2.252 0.117 0.232
-8.417 -3.086 1.377 0.430
8.868 -3.431 0.988 0.427
-21.811 4.454 0.238 0.220
10.264 3.575 1.161 0.493
0.230 4.669 0.985 0.694
22.766 4.271 0.119 0.795
23.309 4.034 1.482 0.230
4.074 -1.568 1.243 0.885
-4.940 2.854 0.283 0.758
16.718 -0.773 1.147 0.463
4.479 -5.692 -0.025 0.836
1.139 -5.669 0.622 0.374
21.213 3.951 1.183 0.257
31.948 5.638 0.422 0.626
-7.799 -0.302 -0.004 0.221
-5.824 -4.740 1.026 0.389
-5.672 -3.817 1.284 0.818
35.339 -5.903 0.551 0.851
21.256 -5.737 1.230 0.392
-35.903 -5.221 1.325 0.663
16.216 1.640 -0.096 0.753
14.754 -4.748 -0.083 0.249
24.308 3.225 1.172 0.490
-12.036 -1.260 0.982 0.629
-22.254 4.957 1.101 0.456
12.679 1.056 0.106 0.830
3.585 5.484 0.122 0.380
39.700 5.670 0.929 0.780
-9.561 4.187 1.007 0.355
-26.335 1.168 1.067 0.481
-11.365 3.002 0.067 0.247
17.092 -0.247 1.105 0.265
38.419 3.641 0.850 0.755
28.769 2.287 -0.050 0.703
-29.746 3.447 0.665 0.223
-7.588 -3.410 0.226 0.667
-18.498 2.841 0.476 0.855
-12.226 -4.516 0.985 0.652
35.631 -1.731 0.549 0.233
-16.705 3.484 0.549 0.536
-23.117 4.634 1.033 0.858
14.335 -4.976 0.102 0.390
3.576 4.672 0.364 0.403
-29.966 -4.727 0.752 0.375
-3.209 -1.024 1.229 0.376
-34.831 -4.977 1.278 0.408
-3.933 3.776 1.426 0.546
1.915 2.682 0.517 0.226
-1.910 3.515 1.381 0.417
24.874 1.423 1.318 0.575
34.643 2.100 0.760 0.686
13.760 -1.142 0.151 0.804
3.903 -2.406 0.471 0.315
-15.794 -2.047 -0.017 0.250
0.804 -1.147 0.679 0.345
-21.643 -1.223 0.516 0.351
3.518 -3.719 0.707 0.813
23.592 1.466 0.988 0.533
27.978 -5.224 1.037 0.594
31.218 -3.939 0.962 0.230
20.567 0.751 1.140 0.429
1.724 -4.462 1.337 0.758
-37.458 5.558 0.675 0.580
33.296 -1.855 0.802 0.542
-23.760 -5.432 1.138 0.709
-9.124 -4.371 -0.019 0.639
-38.616 -4.387 0.679 0.680
-4.169 -1.738 1.245 0.828
-10.405 2.272 1.266 0.701
14.856 4.661 -0.027 0.348
33.463 -3.573 1.364 0.699
35.766 4.266 0.462 0.420
35.884 -1.818 1.070 0.837
-16.830 1.817 1.322 0.577
-28.178 1.248 0.697 0.418
24.406 -2.288 0.526 0.276
34.596 -1.450 0.128 0.509
-32.454 2.353 0.324 0.304
33.286 -2.321 1.444 0.650
7.158 0.295 1.044 0.873
-25.769 2.764 1.013 0.696
-13.900 -5.957 -0.087 0.455
32.564 2.565 1.481 0.712
-2.544 -4.735 1.390 0.330
-25.852 3.155 1.183 0.766
13.574 4.712 0.921 0.478
28.629 1.915 0.852 0.416
7.398 5.843 0.503 0.200
-14.456 0.115 1.285 0.748
14.212 2.378 0.157 0.244
8.872 -3.974 0.565 0.785
-6.814 5.576 1.296 0.824
24.473 -5.670 0.664 0.454
-13.861 -5.783 0.722 0.788
-10.507 -0.331 0.482 0.747
-5.219 -1.435 1.154 0.350
-24.938 1.524 0.600 0.395
17.526 4.324 0.999 0.559
20.095 1.872 0.065 0.530
0.075 -2.425 0.745 0.806
7.076 4.188 0.419 0.431
22.988 -2.467 0.747 0.652
2.770 0.109 -0.031 0.661
24.589 0.460 1.434 0.280
16.485 -1.049 0.650 0.583
-34.245 4.989 0.235 0.868
31.205 5.103 1.217 0.434
9.766 3.434 -0.005 0.384
9.286 -2.875 0.093 0.484
-6.063 2.387 1.396 0.824
-31.074 1.006 1.466 0.446
38.380 -3.096 -0.020 0.871
-8.990 -3.299 0.223 0.514
8.237 2.765 0.311 0.487
13.813 3.033 1.126 0.638
-35.307 -3.206 0.573 0.537
-13.843 -0.894 0.990 0.224
4.671 -3.521 0.462 0.474
-16.307 5.544 1.258 0.449
30.227 1.635 0.837 0.877
-19.940 -4.830 1.223 0.523
24.238 -3.658 0.324 0.434
-2.963 -5.804 1.340 0.451
-7.010 -5.510 0.732 0.232
-21.939 4.235 0.578 0.599
-1.560 2.731 1.193 0.440
-36.436 -0.879 0.535 0.572
-39.359 -5.035 1.045 0.534
6.378 -5.292 0.316 0.558
5.080 3.679 1.022 0.452
9.794 -1.809 0.266 0.379
-14.017 -1.230 0.697 0.496
-13.182 5.986 0.795 0.870
34.449 2.743 -0.038 0.206
21.949 -5.027 1.406 0.581
-7.528 -4.732 1.495 0.486
13.334 1.253 0.915 0.424
-18.198 3.719 1.422 0.496
-38.997 -4.326 0.378 0.365
-22.570 -0.860 1.156 0.352
22.364 1.842 1.273 0.456
5.100 -0.538 0.166 0.469
-6.029 5.762 0.462 0.740
-33.546 1.096 1.249 0.619
-38.269 4.743 0.085 0.265
-21.820 4.843 1.480 0.693
-37.694 0.858 0.302 0.627
13.648 -3.421 1.367 0.588
-16.504 -4.656 1.315 0.341
0.064 0.924 1.263 0.215
-29.937 1.881 0.912 0.564
23.176 0.853 0.149 0.890
-28.909 -5.474 1.344 0.571
6.149 -2.856 0.105 0.517
-15.218 5.525 0.349 0.297
-5.970 2.411 1.213 0.365
-24.807 3.166 0.717 0.262
-37.490 -3.691 0.874 0.731
4.402 -3.221 1.378 0.850
12.275 -5.670 1.478 0.687
13.546 5.417 0.648 0.487
-31.131 -4.912 0.033 0.388
14.185 -1.790 0.682 0.212
-30.081 -5.322 1.361 0.882
-6.952 5.886 0.635 0.460
-24.559 -5.166 -0.025 0.237
8.599 1.523 0.262 0.504
-11.177 -1.995 0.211 0.321
-7.392 -1.433 1.036 0.807
25.766 -4.381 1.166 0.766
-16.974 0.137 0.142 0.512
1.384 -5.452 1.259 0.206
-13.776 5.855 0.378 0.891
1.848 0.770 0.297 0.245
2.460 2.182 1.299 0.803
23.121 0.079 1.367 0.789
27.493 -1.492 0.199 0.638
-33.197 -4.162 0.078 0.556
19.399 -2.797 0.268 0.596
20.097 -0.356 0.799 0.414
0.356 -1.808 1.276 0.856
-13.395 -5.603 -0.065 0.418
-30.342 -4.625 0.647 0.382
-11.588 2.512 0.884 0.303
6.462 -0.464 0.462 0.795
-8.813 4.336 0.752 0.588
-16.401 -2.533 1.283 0.605
-35.926 -5.731 -0.075 0.608
29.277 5.585 1.359 0.289
8.006 -5.970 1.198 0.309
-34.597 2.702 0.282 0.462
-33.482 0.563 0.728 0.328
-2.096 -5.416 0.265 0.881
-19.914 -5.416 1.439 0.603
-15.674 -1.169 1.155 0.687
-0.412 5.301 0.165 0.712
29.214 -2.335 0.317 0.765
5.655 -3.419 -0.022 0.406
-9.919 -4.875 0.213 0.714
-33.764 2.709 1.253 0.523
-34.777 -4.734 1.465 0.524
-11.158 -4.951 1.086 0.828
-5.291 4.900 1.101 0.300
7.051 -5.765 0.763 0.437
27.066 -4.303 1.188 0.614
19.670 -0.209 0.284 0.685
19.140 -5.264 0.348 0.856
1.369 5.981 0.730 0.638
5.888 -5.395 1.381 0.323
21.268 -3.136 0.636 0.351
-11.940 2.222 0.092 0.894
-11.685 -5.350 0.422 0.274
-21.909 0.859 0.073 0.595
-16.675 3.561 1.368 0.398
-20.191 -0.414 0.497 0.639
-36.366 -0.492 0.166 0.621
37.046 -1.618 0.751 0.832
7.218 -0.676 0.348 0.336
-26.862 3.974 0.951 0.653
4.278 -5.811 0.415 0.525
20.482 3.975 1.130 0.839
-33.724 -1.894 1.364 0.863
-7.190 0.819 -0.005 0.611
26.884 -0.036 0.787 0.483
-19.400 -0.170 0.271 0.664
-33.164 0.407 1.343 0.793
4.430 5.014 1.315 0.485
32.992 4.852 0.911 0.758
21.303 -2.123 0.023 0.863
7.841 -5.055 -0.021 0.731
-13.743 2.084 1.423 0.280
-39.183 5.606 0.003 0.400
7.330 5.246 0.910 0.540
-25.953 0.877 1.147 0.323
24.923 5.682 1.331 0.757
7.919 -2.618 0.926 0.476
-33.435 5.254 0.728 0.708
-20.811 1.504 0.662 0.361
-28.004 -4.251 0.864 0.673
2.203 -1.316 1.146 0.898
23.173 -0.631 0.986 0.359
9.117 -1.834 -0.066 0.271
31.851 -4.946 1.102 0.872
-3.630 2.003 0.768 0.427
2.294 1.991 0.507 0.359
-13.411 0.265 0.195 0.406
-12.161 2.605 0.460 0.847
-19.734 1.840 0.803 0.721
-35.829 1.894 0.839 0.436
36.313 0.022 -0.008 0.247
-26.987 -4.075 0.795 0.240
15.703 -4.342 1.110 0.257
13.692 1.111 0.751 0.334
7.315 -1.776 0.833 0.631
22.453 -1.946 1.271 0.434
-34.125 -3.611 1.021 0.358
32.142 -5.772 0.369 0.698
-35.962 -3.538 0.624 0.468
-20.152 4.985 0.532 0.500
